Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status
Damavand,Iran,Iran,35.95,52.11,5670,Stratovolcano,Holocene
Dana,United States,Alaska Peninsula,55.62,-161.22,1354,Stratovolcano,Radiocarbon
Danau Complex,Indonesia,Java,-6.2,105.97,1778,Caldera,Holocene
Dar-Alages,Armenia,Armenia,39.7,45.54,3329,Unknown,Holocene
Dariganga Volc Field,Mongolia,Mongolia,45.33,114,1778,Cinder cone,Holocene
Darwin. Volcan,Ecuador,Galapagos,-0.18,-91.28,1330,Shield volcano,Holocene
Daun. Bukit,Indonesia,Sumatra,-3.38,102.37,2467,Stratovolcano,Fumarolic
Davidof,United States,Aleutian Is,51.97,178.33,328,Stratovolcano,Holocene
Davis Lake,United States,US-Oregon,43.57,-121.82,2163,Volcanic field,Radiocarbon
Dawson Strait Group,Papua New Guinea,D'Entrecasteaux Is,-9.62,150.88,500,Volcanic field,Hydration Rind
Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,Historical
Demon,Russia,Kuril Is,45.5,148.85,1205,Stratovolcano,Holocene
Dempo,Indonesia,Sumatra,-4.03,103.13,3173,Stratovolcano,Historical
Denison,United States,Alaska Peninsula,58.42,-154.45,2318,Stratovolcano,Uncertain
Descabezado Grande,Chile,Chile-C,-35.58,-70.75,3953,Stratovolcano,Historical
Devils Garden,United States,US-Oregon,43.51,-120.86,1698,Volcanic field,Holocene
Dgida Basin,Russia,Russia-SE,50.52,103.25,1500,Cinder cone,Holocene
Dhamar. Harras of,Yemen,Arabia-S,14.57,44.67,3500,Volcanic field,Historical
Diable. Morne Au,Dominica,W Indies,15.62,-61.45,861,Stratovolcano,Fumarolic
Diablotins. Morne,Dominica,W Indies,15.5,-61.42,1430,Stratovolcano,Holocene
Diamond Craters,United States,US-Oregon,43.1,-118.75,1435,Volcanic field,Holocene
Didicas,Philippines,Luzon-N of,19.08,122.2,244,Compound volcano,Historical
Dieng Volc Complex,Indonesia,Java,-7.2,109.92,2565,Complex volcano,Historical
Diky Greben,Russia,Kamchatka,51.43,157,1070,Lava dome,Radiocarbon
Dofen,Ethiopia,Africa-NE,9.35,40.13,1151,Stratovolcano,Holocene
Doma Peaks,Papua New Guinea,New Guinea,-5.9,143.15,3568,Stratovolcano,Holocene
Domuyo,Argentina,Argentina,-36.63,-70.42,4709,Stratovolcano,Holocene
Don Joao de Castro Bank,Portugal,Azores,38.23,-26.63,-14,Submarine volcano,Historical
Dona Juana,Colombia,Colombia,1.47,-76.92,4150,Stratovolcano,Historical
Dotsero,United States,US-Colorado,39.65,-107.03,2230,Maar,Radiocarbon
Douglas,United States,Alaska Peninsula,58.87,-153.55,2140,Stratovolcano,Fumarolic
Doyo Seamount,Japan,Izu Is-Japan,27.68,140.8,-860,Submarine volcano,Fumarolic
Dubbi,Eritrea,Africa-NE,13.58,41.81,1625,Stratovolcano,Historical
Dukono,Indonesia,Halmahera-Indonesia,1.68,127.88,1185,Complex volcano,Historical
Duncan Canal,United States,Alaska-SE,56.5,-133.1,15,Unknown,Holocene
Durango Volc Field,Mexico,Mexico,24.15,-104.45,2075,Cinder cone,Holocene
Dutton,United States,Alaska Peninsula,55.18,-162.27,1506,Stratovolcano,Holocene
Dzenzursky,Russia,Kamchatka,53.64,158.92,2155,Compound volcano,Holocene
E-san,Japan,Hokkaido-Japan,41.8,141.17,618,Stratovolcano,Historical
Eagle Lake Field,United States,US-California,40.63,-120.83,1652,Fissure vent,Holocene
Easter Island,Chile,Chile-Is,-27.15,-109.38,511,Shield volcanoes,Holocene
Eastern Gemini Seamount,Pacific Ocean,SW Pacific,-20.98,170.28,-80,Submarine volcano,Historical
Ebeko,Russia,Kuril Is,50.68,156.02,1156,Somma volcano,Historical
Ebulobo,Indonesia,Lesser Sunda Is,-8.81,121.18,2124,Stratovolcano,Historical
Eburru. Ol Doinyo,Kenya,Africa-E,-0.63,36.23,2856,Complex volcano,Holocene
Ecuador. Volcan,Ecuador,Galapagos,-0.02,-91.55,790,Shield volcano,Holocene
Edgecumbe,United States,Alaska-SE,57.05,-135.75,976,Stratovolcano,Radiocarbon
Edziza,Canada,Canada,57.72,-130.63,2786,Stratovolcano,Radiocarbon
Eggella,Russia,Kamchatka,56.57,158.52,1046,Shield volcano,Holocene
Egmont,New Zealand,New Zealand,-39.3,174.07,2518,Stratovolcano,Radiocarbon
Egon,Indonesia,Lesser Sunda Is,-8.67,122.45,1703,Stratovolcano,Historical
Ekarma,Russia,Kuril Is,48.96,153.93,1170,Stratovolcano,Historical
Elbrus,Russia,Russia-SW,43.33,42.45,5633,Stratovolcano,Tephrochronology
Elmenteita Badlands,Kenya,Africa-E,-0.52,36.27,2126,Pyroclastic cone,Holocene
Elovsky,Russia,Kamchatka,57.53,160.53,1381,Shield volcano,Holocene
Emmons Lake,United States,Alaska Peninsula,55.33,-162.07,1465,Caldera,Holocene
Emperor of China,Pacific Ocean,Banda Sea,-6.62,124.22,-2850,Submarine volcano,Uncertain
Emuruangogolak,Kenya,Africa-E,1.5,36.33,1328,Shield volcano,Radiocarbon
Endeavour Ridge,Pacific Ocean,Pacific-NE,47.95,-129.1,-2400,Submarine volcano,Historical
Epi,Vanuatu,Vanuatu-SW Pacific,-16.68,168.37,833,Stratovolcano,Historical
Erciyes Dagi,Turkey,Turkey,38.52,35.48,3916,Stratovolcano,Holocene
Erebus,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
Erta Ale,Ethiopia,Africa-NE,13.6,40.67,613,Shield volcano,Historical
Es Safa,Syria,Syria,33.08,37.15,979,Volcanic field,Historical
Escanaba Segment,Pacific Ocean,Pacific-NE,40.98,-127.5,-1700,Submarine volcano,Uranium-series
Escorial. Cerro,Argentina,Chile-N,-25.08,-68.37,5447,Stratovolcano,Holocene
Esjufjoll,Iceland,Iceland-SE,64.27,-16.65,1760,Stratovolcano,Historical
Esmeralda Bank,United States,Mariana Is-C Pacific,15,145.25,-43,Submarine volcano,Fumarolic
Espenberg,United States,Alaska-W,66.35,-164.33,243,Volcanic field,Tephrochronology
Est. Ile de l',French Southern & Antarctic Lands,Indian O-S,-46.43,52.2,1090,Stratovolcano,Holocene
Esteli,Nicaragua,Nicaragua,13.17,-86.4,899,Fissure vent,Holocene
Etna,Italy,Italy,37.73,15,3350,Stratovolcano,Historical
Eyjafjallajokull,Iceland,Iceland-S,63.63,-19.62,1666,Stratovolcano,Historical
Falcon Island,Tonga,Tonga-SW Pacific,-20.32,-175.42,-17,Submarine volcano,Historical
Farallon de Pajaros,United States,Mariana Is-C Pacific,20.53,144.9,360,Stratovolcano,Historical
Fayal,Portugal,Azores,38.6,-28.73,1043,Stratovolcano,Historical
Fedotych,Russia,Kamchatka,57.13,160.4,965,Shield volcano,Holocene
Fentale,Ethiopia,Africa-NE,8.98,39.93,2007,Stratovolcano,Historical
Fernandina,Ecuador,Galapagos,-0.37,-91.55,1495,Shield volcano,Historical
Firura. Nevados,Peru,Peru,-15.23,-72.63,5498,Stratovolcano,Holocene
Fisher,United States,Aleutian Is,54.67,-164.35,1094,Stratovolcano,Historical
Flores,Portugal,Azores,39.4,-31.17,915,Stratovolcano,Radiocarbon
Flores,Guatemala,Guatemala,14.3,-90,1600,Volcanic field,Holocene
Fogo,Cape Verde,Cape Verde Is,14.95,-24.35,2829,Stratovolcano,Historical
Fonualei,Tonga,Tonga-SW Pacific,-18.02,-174.33,200,Stratovolcano,Historical
Forecast Seamount,United States,Mariana Is-C Pacific,13.4,143.92,,Submarine volcano,Fumarolic
Fort Portal Field,Uganda,Africa-C,0.7,30.25,1524,Tuff cone,Holocene
Fort Selkirk,Canada,Canada,62.93,-137.38,1239,Volcanic field,Holocene
Four Craters Lava Field,United States,US-Oregon,43.36,-120.67,1501,Volcanic field,Holocene
Fournaise. Piton de la,Reunion,Indian O-W,-21.23,55.71,2631,Shield volcano,Historical
Fourpeaked,United States,Alaska Peninsula,58.77,-153.68,2104,Stratovolcano,Uncertain
Fremrinamur,Iceland,Iceland-NE,65.43,-16.65,939,Stratovolcano,Tephrochronology
Frosty,United States,Alaska Peninsula,55.07,-162.82,1920,Stratovolcano,Holocene
Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,Historical
Fuerteventura,Spain,Canary Is,28.36,-14.02,529,Fissure vent,Holocene
Fuji,Japan,Honshu-Japan,35.35,138.73,3776,Stratovolcano,Historical
Fukue-jima,Japan,Kyushu-Japan,32.65,128.85,317,Shield volcanoes,Tephrochronology
Fukujin,Japan,Volcano Is-Japan,21.93,143.44,-217,Submarine volcano,Historical
Fukutoku-okanoba,Japan,Volcano Is-Japan,24.28,141.52,-14,Submarine volcano,Historical
Furnas,Portugal,Azores,37.77,-25.32,805,Stratovolcano,Historical
Fuss Peak,Russia,Kuril Is,50.27,155.25,1772,Stratovolcano,Historical
Gabillema,Ethiopia,Africa-NE,11.08,41.27,1459,Stratovolcano,Holocene
Gada Ale,Ethiopia,Africa-NE,13.98,40.41,287,Stratovolcano,Holocene
Galapagos Rift,Pacific Ocean,Pacific-E,0.79,-86.15,-2430,Submarine volcano,Historical
Galapagos Rift,Pacific Ocean,Pacific-E,0.79,-86.15,-2430,Submarine volcano,Historical
Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,Historical
Gallego,Solomon Is.,Solomon Is-SW Pacifi,-9.35,159.73,1000,Volcanic field,Holocene
Galunggung,Indonesia,Java,-7.25,108.05,2168,Stratovolcano,Historical
Gamalama,Indonesia,Halmahera-Indonesia,0.8,127.33,1715,Stratovolcano,Historical
Gamchen,Russia,Kamchatka,54.97,160.7,2576,Complex volcano,Holocene
Gamkonora,Indonesia,Halmahera-Indonesia,1.38,127.52,1635,Stratovolcano,Historical
Garbuna Group,Papua New Guinea,New Britain-SW Pac,-5.45,150.03,564,Stratovolcano,Holocene
Gareloi,United States,Aleutian Is,51.78,-178.8,1573,Stratovolcano,Historical
Garibaldi Lake,Canada,Canada,49.92,-123.03,2316,Volcanic field,Holocene
Garibaldi. Mt.,Canada,Canada,49.85,-123,2678,Stratovolcano,Radiocarbon
Garove,Papua New Guinea,New Britain-SW Pac,-4.69,149.5,368,Stratovolcano,Holocene
Garua Harbour,Papua New Guinea,New Britain-SW Pac,-5.27,150.09,565,Volcanic field,Holocene
Gaua,Vanuatu,Vanuatu-SW Pacific,-14.27,167.5,797,Stratovolcano,Historical
Gedamsa Caldera,Ethiopia,Africa-NE,8.35,39.18,1984,Caldera,Holocene
Gede,Indonesia,Java,-6.78,106.98,2958,Stratovolcano,Historical
Genovesa,Ecuador,Galapagos,0.32,-89.96,64,Shield volcano,Holocene
Geodesistoy,Russia,Kamchatka,56.33,158.67,1170,Shield volcano,Holocene
Giggenbach,New Zealand,Kermadec Is,-30.04,-178.71,-65,Submarine volcano,Fumarolic
Girekol,Turkey,Turkey,39.17,43.33,0,Unknown,Holocene
Glacier Peak,United States,US-Washington,48.11,-121.11,3213,Stratovolcano,Tephrochronology
Gloria. La,Mexico,Mexico,19.33,-97.25,3500,Volcanic field,Holocene
Golden Trout Creek,United States,US-California,36.36,-118.32,2886,Volcanic field,Tephrochronology
Golets-Tornyi Group,Russia,Kuril Is,45.25,148.35,442,Pyroclastic cone,Holocene
Gollu Dag,Turkey,Turkey,38.25,34.57,2143,Lava dome,Holocene
Golovnin,Russia,Kuril Is,43.85,145.53,541,Caldera,Historical
Goodenough,Papua New Guinea,D'Entrecasteaux Is,-9.48,150.35,220,Volcanic field,Holocene
Gordon,United States,Alaska-E,62.13,-143.08,2755,Cinder cone,Holocene
Gorely,Russia,Kamchatka,52.56,158.03,1829,Caldera,Historical
Goriaschaia Sopka,Russia,Kuril Is,46.83,151.75,891,Stratovolcano,Historical
Gorny Institute,Russia,Kamchatka,57.33,160.2,2125,Stratovolcano,Holocene
Graciosa,Portugal,Azores,39.02,-27.97,402,Stratovolcano,Holocene
Gran Canaria,Spain,Canary Is,28,-15.58,1950,Fissure vent,Radiocarbon
Great Sitkin,United States,Aleutian Is,52.08,-176.13,1740,Stratovolcano,Historical
Griggs,United States,Alaska Peninsula,58.35,-155.1,2317,Stratovolcano,Holocene
Grille. La,Comoros,Indian O-W,-11.47,43.33,1087,Shield volcano,Holocene
Grimsnes,Iceland,Iceland-SW,64.03,-20.87,214,Crater rows,Tephrochronology
Grimsvotn,Iceland,Iceland-NE,64.42,-17.33,1725,Caldera,Historical
Groppo,Ethiopia,Africa-NE,11.73,40.25,930,Stratovolcano,Holocene
Grozny Group,Russia,Kuril Is,45.02,147.87,1211,Complex volcano,Historical
Guadalupe,Mexico,Mexico,29.07,-118.28,1100,Shield volcano,Holocene
Guagua Pichincha,Ecuador,Ecuador,-0.17,-78.6,4784,Stratovolcano,Historical
Guallatiri,Chile,Chile-N,-18.42,-69.17,6071,Stratovolcano,Historical
Guayaques,Bolivia,Chile-N,-22.88,-67.58,5598,Lava dome,Holocene
Guazapa,El Salvador,El Salvador,13.9,-89.12,1438,Stratovolcano,Holocene
Gufa,Eritrea,Africa-NE,12.55,42.53,600,Volcanic field,Holocene
Guguan,United States,Mariana Is-C Pacific,17.32,145.85,287,Stratovolcano,Historical
Guntur,Indonesia,Java,-7.13,107.83,2249,Complex volcano,Historical
Gunungapi Wetar,Pacific Ocean,Banda Sea,-6.64,126.65,282,Stratovolcano,Historical
Hachijo-jima,Japan,Izu Is-Japan,33.13,139.77,854,Stratovolcano,Historical
Hachimantai,Japan,Honshu-Japan,39.95,140.85,1614,Stratovolcano,Holocene
Hainan Dao,China,SE Asia,19.7,110.1,,Pyroclastic cones,Historical
Hakkoda Group,Japan,Honshu-Japan,40.65,140.88,1585,Stratovolcano,Holocene
Hakone,Japan,Honshu-Japan,35.22,139.02,1438,Complex volcano,Radiocarbon
Haku-san,Japan,Honshu-Japan,36.15,136.78,2702,Stratovolcano,Historical
Haleakala,United States,Hawaiian Is,20.71,-156.25,3055,Shield volcano,Historical
Halla,South Korea,Korea,33.37,126.53,1950,Shield volcano,Historical
Hanish,Yemen,Red Sea,13.72,42.73,422,Shield volcano,Holocene
Hargy,Papua New Guinea,New Britain-SW Pac,-5.33,151.1,1148,Stratovolcano,Radiocarbon
Harrah. Al,Saudi Arabia,Arabia-W,31.08,38.42,1100,Volcanic field,Holocene
Haruj,Libya,Africa-N,27.25,17.5,1200,Scoria cone,Holocene
Haruna,Japan,Honshu-Japan,36.47,138.88,1449,Stratovolcano,Anthropology
Hasan Dagi,Turkey,Turkey,38.13,34.17,3253,Stratovolcano,Holocene
Haut Dong Nai,Vietnam,SE Asia,11.6,108.2,1000,Volcanic field,Holocene
Hayes,United States,Alaska-SW,61.62,-152.48,2788,Stratovolcano,Radiocarbon
Haylan. Jabal,Yemen,Arabia-S,15.43,44.78,1550,Volcanic field,Anthropology
Hayli Gubbi,Ethiopia,Africa-NE,13.5,40.72,521,Shield volcano,Holocene
Healy,New Zealand,New Zealand,-35,178.97,980,Submarine volcano,Radiocarbon
Heard,Heard I. & McDonald Is.,Indian O-S,-53.11,73.51,2745,Stratovolcano,Historical
Heart Peaks,Canada,Canada,58.6,-131.97,2012,Shield volcano,Holocene
Hekla,Iceland,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical
Hell's Half Acre,United States,US-Idaho,43.5,-112.45,1631,Shield volcano,Radiocarbon
Hengill,Iceland,Iceland-SW,64.18,-21.33,803,Crater rows,Radiocarbon
Herbert,United States,Aleutian Is,52.75,-170.12,1290,Stratovolcano,Holocene
Hertali,Ethiopia,Africa-NE,9.78,40.33,900,Fissure vent,Holocene
Hierro,Spain,Canary Is,27.73,-18.03,1500,Shield volcano,Historical
Hijiori,Japan,Honshu-Japan,38.6,140.18,516,Caldera,Radiocarbon
Hiri,Indonesia,Halmahera-Indonesia,0.88,127.32,630,Stratovolcano,Holocene
Hiuchi,Japan,Honshu-Japan,36.95,139.28,2346,Stratovolcano,Historical
Hobicha Caldera,Ethiopia,Africa-NE,6.78,37.83,1800,Caldera,Holocene
Hodson,Antarctica,Antarctica,-56.7,-27.15,1005,Stratovolcano,Holocene
Hofsjokull,Iceland,Iceland-SW,64.78,-18.92,1782,Subglacial volcano,Holocene
Homa Mountain,Kenya,Africa-E,-0.38,34.5,1751,Complex volcano,Holocene
Home Reef,Tonga,Tonga-SW Pacific,-18.99,-174.78,-2,Submarine volcano,Historical
Honggeertu,China,China-E,41.47,113,1700,Cinder cone,Holocene
Hood,United States,US-Oregon,45.37,-121.69,3426,Stratovolcano,Historical
Hoodoo Mountain,Canada,Canada,56.78,-131.28,1820,Subglacial volcano,Holocene
Hornopiren,Chile,Chile-S,-41.87,-72.43,1572,Stratovolcano,Holocene
Hromundartindur,Iceland,Iceland-S,64.07,-21.2,540,Stratovolcano,Holocene?
Hualalai,United States,Hawaiian Is,19.69,-155.87,2523,Shield volcano,Historical
Huanquihue Group,Argentina,Argentina,-39.87,-71.55,1300,Pyroclastic cone,Holocene
Huaynaputina,Peru,Peru,-16.61,-70.85,4850,Stratovolcano,Historical
Hudson Mountains,Antarctica,Antarctica,-74.33,-99.42,749,Stratovolcano,Uncertain
Hudson. Cerro,Chile,Chile-S,-45.9,-72.97,1905,Stratovolcano,Historical
Huequi,Chile,Chile-S,-42.38,-72.58,1318,Stratovolcano,Historical
Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,Historical
Hulubelu,Indonesia,Sumatra,-5.35,104.6,1040,Caldera,Fumarolic
Humeros. Los,Mexico,Mexico,19.68,-97.45,3150,Caldera,Holocene
Hunga Tonga-Hunga Ha'apai,Tonga,Tonga-SW Pacific,-20.57,-175.38,0,Submarine volcano,Historical
Hunter Island,Pacific Ocean,SW Pacific,-22.4,172.05,297,Stratovolcano,Historical
Hutapanjang,Indonesia,Sumatra,-2.33,101.6,2021,Stratovolcano,Holocene
Hutapanjang,Indonesia,Sumatra,-2.33,101.6,2021,Stratovolcano,Holocene
Hydrographers Range,Papua New Guinea,New Guinea,-9,148.37,1915,Stratovolcano,Holocene
Iamalele,Papua New Guinea,D'Entrecasteaux Is,-9.52,150.53,200,Lava dome,Holocene
Ibu,Indonesia,Halmahera-Indonesia,1.48,127.64,1325,Stratovolcano,Historical
Ibusuki Volc Field,Japan,Kyushu-Japan,31.22,130.57,922,Caldera,Historical
Ichinsky,Russia,Kamchatka,55.68,157.73,3621,Stratovolcano,Holocene
Iettunup,Russia,Kamchatka,58.4,161.08,1340,Shield volcano,Holocene
Igwisi Hills,Tanzania,Africa-E,-4.87,31.92,0,Tuff cone,Holocene
Ijen,Indonesia,Java,-8.06,114.24,2799,Stratovolcano,Historical
Iktunup,Russia,Kamchatka,58.08,160.77,2300,Shield volcano,Holocene
Iliamna,United States,Alaska-SW,60.03,-153.08,3053,Stratovolcano,Historical
Iliboleng,Indonesia,Lesser Sunda Is,-8.34,123.26,1659,Stratovolcano,Historical
Ililabalekan,Indonesia,Lesser Sunda Is,-8.53,123.42,1018,Stratovolcano,Fumarolic
Ilimuda,Indonesia,Lesser Sunda Is,-8.48,122.67,1100,Stratovolcano,Fumarolic
Iliwerung,Indonesia,Lesser Sunda Is,-8.54,123.59,1018,Complex volcano,Historical
Illiniza,Ecuador,Ecuador,-0.66,-78.71,5248,Stratovolcano,Holocene
Ilopango,El Salvador,El Salvador,13.67,-89.05,450,Caldera,Historical
Ilyinsky,Russia,Kamchatka,51.49,157.2,1578,Stratovolcano,Historical
Imun,Indonesia,Sumatra,2.15,98.93,1505,Unknown,Holocene
Imuruk Lake,United States,Alaska-W,65.6,-163.92,610,Shield volcano,Radiocarbon
In Ezzane Volc Field,Algeria,Africa-N,23,10.83,,Volcanic field,Holocene?
Indian Heaven,United States,US-Washington,45.93,-121.82,1513,Shield volcano,Radiocarbon
Ingakslugwat Hills,United States,Alaska-W,61.43,-164.47,190,Cinder cone,Holocene
Inielika,Indonesia,Lesser Sunda Is,-8.73,120.98,1559,Complex volcano,Historical
Inierie,Indonesia,Lesser Sunda Is,-8.88,120.95,2245,Stratovolcano,Fumarolic
Inyo Craters,United States,US-California,37.69,-119.02,2629,Lava dome,Radiocarbon
Ipala Volc Field,Guatemala,Guatemala,14.55,-89.63,1650,Stratovolcano,Holocene
Iraya,Philippines,Luzon-N of,20.47,122.01,1009,Stratovolcano,Historical
Irazu,Costa Rica,Costa Rica,9.98,-83.85,3432,Stratovolcano,Historical
Iriga,Philippines,Luzon-Philippines,13.46,123.46,1196,Stratovolcano,Historical
Iriomote-jima,Japan,Ryukyu Is,24.56,124,-200,Submarine volcano,Historical
Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163,Stratovolcano,Historical
Isanotski,United States,Aleutian Is,54.75,-163.73,2446,Stratovolcano,Historical
Isarog,Philippines,Luzon-Philippines,13.66,123.37,1966,Stratovolcano,Holocene
Ischia,Italy,Italy,40.73,13.9,789,Complex volcano,Historical
Iskut-Unuk River Cones,Canada,Canada,56.58,-130.55,1880,Cinder cone,Radiocarbon
Isluga,Chile,Chile-N,-19.15,-68.83,5050,Stratovolcano,Historical
Itasy Volc Field,Madagascar,Madagascar,-19,46.77,1800,Scoria cone,Radiocarbon
Ithnayn. Harrat,Saudi Arabia,Arabia-W,26.58,40.2,1625,Volcanic field,Holocene
Ivao Group,Russia,Kuril Is,45.77,149.68,1426,Cinder cone,Holocene
Iwaki,Japan,Honshu-Japan,40.65,140.3,1625,Stratovolcano,Historical
Iwate,Japan,Honshu-Japan,39.85,141,2041,Complex volcano,Historical
Iwo-Tori-shima,Japan,Ryukyu Is,27.85,128.25,217,Complex volcano,Historical
Iwo-jima,Japan,Volcano Is-Japan,24.75,141.33,161,Caldera,Historical
Ixtepeque,Guatemala,Guatemala,14.42,-89.68,1292,Lava dome,Holocene
Iya,Indonesia,Lesser Sunda Is,-8.88,121.63,637,Stratovolcano,Historical
Iyang-Argapura,Indonesia,Java,-7.97,113.57,3088,Complex volcano,Holocene
Izalco,El Salvador,El Salvador,13.81,-89.63,1950,Stratovolcano,Historical
Iztaccihuatl,Mexico,Mexico,19.18,-98.64,5230,Stratovolcano,Holocene
Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406,Pyroclastic cone,Historical
Izumbwe-Mpoli,Tanzania,Africa-E,-8.93,33.4,1568,Pyroclastic cone,Holocene
Jailolo,Indonesia,Halmahera-Indonesia,1.08,127.42,1130,Stratovolcano,Holocene
Jalajala,Philippines,Luzon-Philippines,14.35,121.33,743,Fumarole field,Fumarolic
Jalua,Eritrea,Africa-NE,15.04,39.82,713,Stratovolcano,Holocene
Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277,Stratovolcano,Historical
Jaraguay Volc Field,Mexico,Mexico,29.33,-114.5,960,Cinder cone,Holocene
Jayu Khota. Laguna,Bolivia,Bolivia,-19.45,-67.42,3650,Maars,Holocene
Jefferson,United States,US-Oregon,44.69,-121.8,3199,Stratovolcano,Varve Count
Jingpohu,China,China-E,44.08,128.83,500,Volcanic field,Radiocarbon
Jocotitlan,Mexico,Mexico,19.73,-99.76,3900,Stratovolcano,Radiocarbon
Jocotitlan,Mexico,Mexico,19.72,-99.76,3900,Stratovolcano,Radiocarbon
Jordan Craters,United States,US-Oregon,43.03,-117.42,1473,Volcanic field,Holocene
Joya. La,Nicaragua,Nicaragua,11.92,-85.98,300,Fissure vent,Holocene
Kaba,Indonesia,Sumatra,-3.52,102.62,1952,Stratovolcano,Historical
Kabargin Oth Group,Georgia,Georgia,42.55,44,3650,Cinder cone,Holocene
Kadovar,Papua New Guinea,New Guinea-NE of,-3.62,144.62,365,Stratovolcano,Holocene
Kagamil,United States,Aleutian Is,52.97,-169.72,893,Stratovolcano,Historical
Kaguyak,United States,Alaska Peninsula,58.62,-154.05,901,Stratovolcano,Holocene
Kaikata Seamount,Japan,Volcano Is-Japan,26.67,141,-162,Submarine volcano,Fumarolic
Kaikohe-Bay of Islands,New Zealand,New Zealand,-35.3,173.9,388,Volcanic field,Radiocarbon
Kaileney,Russia,Kamchatka,57.8,160.67,1582,Shield volcano,Holocene
Kaitoku Seamount,Japan,Volcano Is-Japan,26.12,141.1,-10,Submarine volcano,Historical
Kalatungan,Philippines,Mindanao-Philippines,7.95,124.8,2824,Stratovolcano,Holocene
Kambalny,Russia,Kamchatka,51.3,156.87,2156,Stratovolcano,Holocene
Kamen,Russia,Kamchatka,56.02,160.59,4585,Stratovolcano,Holocene
Kana Keoki,Solomon Is.,Solomon Is-SW Pacifi,-8.75,157.03,-700,Submarine volcano,Holocene
Kanaga,United States,Aleutian Is,51.92,-177.17,1307,Stratovolcano,Historical
Kanlaon,Philippines,Philippines-C,10.41,123.13,2435,Stratovolcano,Historical
Kao,Tonga,Tonga-SW Pacific,-19.67,-175.03,1030,Stratovolcano,Holocene
Karacalidag,Turkey,Turkey,37.67,39.83,1957,Shield volcano,Holocene
Karaha. Kawah,Indonesia,Java,-7.12,108.08,1155,Fumarole field,Fumarolic
Karang,Indonesia,Java,-6.27,106.04,1778,Stratovolcano,Holocene
Karangetang [Api Siau],Indonesia,Sangihe Is-Indonesia,2.78,125.48,1784,Stratovolcano,Historical
Karapinar Field,Turkey,Turkey,37.67,33.65,1302,Cinder cone,Holocene
Karisimbi,Congo. DRC,Africa-C,-1.5,29.45,4507,Stratovolcano,Holocene
Karkar,Papua New Guinea,New Guinea-NE of,-4.65,145.96,1839,Stratovolcano,Historical
Karpinsky Group,Russia,Kuril Is,50.13,155.37,1345,Cone,Historical
Kars Plateau,Turkey,Turkey,40.75,42.9,3000,Volcanic field,Holocene
Karthala,Comoros,Indian O-W,-11.75,43.38,2361,Shield volcano,Historical
Karymsky,Russia,Kamchatka,54.05,159.43,1536,Stratovolcano,Historical
Kasatochi,United States,Aleutian Is,52.18,-175.5,314,Stratovolcano,Historical
Kasbek,Georgia,Georgia,42.7,44.5,5050,Stratovolcano,Tephrochronology
Kasuga,Japan,Volcano Is-Japan,21.77,143.72,-558,Submarine volcano,Uncertain
Katla,Iceland,Iceland-S,63.63,-19.05,1512,Subglacial volcano,Historical
Katmai,United States,Alaska Peninsula,58.27,-154.98,2047,Stratovolcano,Historical
Katunga,Uganda,Africa-C,-0.47,30.18,1707,Tuff cone,Holocene
Katwe-Kikorongo Field,Uganda,Africa-C,-0.08,29.92,1067,Tuff cone,Holocene
Kavachi,Solomon Is.,Solomon Is-SW Pacifi,-9.02,157.95,-20,Submarine volcano,Historical
Kawi-Butak,Indonesia,Java,-7.92,112.45,2651,Stratovolcano,Holocene
Kebeney,Russia,Kamchatka,57.1,159.93,1527,Shield volcano,Holocene
Kekurny,Russia,Kamchatka,56.4,158.85,1377,Shield volcano,Holocene
Kelimutu,Indonesia,Lesser Sunda Is,-8.76,121.83,1640,Complex volcano,Historical
Kell,Russia,Kamchatka,51.65,157.35,900,Stratovolcano,Holocene
Keluo Group,China,China-E,49.37,125.92,670,Pyroclastic cone,Holocene
Kelut,Indonesia,Java,-7.93,112.31,1731,Stratovolcano,Historical
Kendang,Indonesia,Java,-7.23,107.72,2608,Stratovolcano,Holocene
Kerguelen Islands,French Southern & Antarctic Lands,Indian O-S,-49.58,69.5,1840,Stratovolcano,Holocene
Kerinci,Indonesia,Sumatra,-1.81,101.26,3800,Stratovolcano,Historical
Ketoi,Russia,Kuril Is,47.35,152.48,1172,Stratovolcano,Historical
Khangar,Russia,Kamchatka,54.75,157.38,2000,Stratovolcano,Radiocarbon
Khanuy Gol,Mongolia,Mongolia,48.67,102.75,1886,Volcanic field,Holocene
Kharimkotan,Russia,Kuril Is,49.12,154.51,1145,Stratovolcano,Historical
Khaybar. Harrat,Saudi Arabia,Arabia-W,25,39.92,2093,Volcanic field,Historical
Khodutka,Russia,Kamchatka,52.06,157.7,2090,Stratovolcano,Radiocarbon
